No.,Nombre de municipio,Nombre de localidad,Clave del Centro de Trabajo (CCT),Nombre del plantel,Matrícula,Semáforo federal,Programa,Porcentaje de avance (%),Latitud,Longitud
2208,TEPEXI DE RODRÍGUEZ,SAN MIGUEL IPALTEPEC,21KJN1426N,PREESCOLAR COMUNITARIO MESTIZO SAN MIGUEL IPALTEPEC,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.516667,-97.871944
2209,HUEJOTZINGO,ÁLVARO OBREGÓN,21KJN1447Z,PREESCOLAR COMUNITARIO RURAL ALVARO OBREGON,11,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.156944,-98.453333
2210,TEPEOJUMA,SAN FRANCISCO EL ASTILLERO,21KJN1453K,PREESCOLAR COMUNITARIO RURAL SAN FRANCISCO EL ASTILLERO,10,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.715556,-98.386111
2211,ZACAPALA,EL PITAYO,21KJN1459E,PREESCOLAR COMUNITARIO RURAL EL PITAHAYO,2,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.516845,-98.056907
2212,CUAUTINCHÁN,HUEXOCALCO,21KJN1472Z,PREESCOLAR COMUNITARIO RURAL HUEXOCALCO,2,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.94737,-98.054126
2213,TLACOTEPEC DE BENITO JUÁREZ,EL MIRADOR,21KJN1502C,PREESCOLAR COMUNITARIO RURAL EL MIRADOR,12,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.660724,-97.591892
2214,YEHUALTEPEC,SAN PEDRO EL CHICO,21KJN1509W,PREESCOLAR COMUNITARIO RURAL SAN PEDRO EL CHICO,7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.72925,-97.677727
2215,AHUATLÁN,LAGUNILLA,21KJN1514H,PREESCOLAR COMUNITARIO RURAL LAGUNILLA,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.605449,-98.317472
2216,XOCHITLÁN TODOS SANTOS,LOS PINOS,21KJN1530Z,PREESCOLAR COMUNITARIO RURAL LOS PINOS,7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.672937,-97.757771
2217,CHIAUTLA,CHIAUZUMBA,21KJN1563Q,PREESCOLAR COMUNITARIO RURAL CHIAUZUMBA,16,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.345,-98.536944
2218,HUEHUETLÁN EL CHICO,SAN MIGUEL EL TERRERO,21KJN1590N,PREESCOLAR COMUNITARIO RURAL SAN MIGUEL EL TERRERO,10,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.3928,-98.7292
2219,TLACOTEPEC DE BENITO JUÁREZ,EL GAVILÁN,21KJN1599E,PREESCOLAR COMUNITARIO RURAL EL GAVILAN,27,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.6627,-97.5994
2220,AHUATLÁN,LA SÁBILA,21KPR0014W,CURSO COMUNITARIO LA S-BILA,10,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.552395,-98.304142
2221,IZÚCAR DE MATAMOROS,LA SOLEDAD PIZOTLA,21KPR0093Z,PRIMARIA COMUNITARIA RURAL LA SOLEDAD PIZOTLA,3,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.38519,-98.466656
2222,TEPEXCO,MICHAPA,21KPR0167Z,CURSO COMUNITARIO MICHAPA,8,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.664609,-98.639985
2223,TEPEXI DE RODRÍGUEZ,AXAMILPA,21KPR0243P,CURSO COMUNITARIO RIO LA AXAMILPA,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.609088,-97.930199
2224,CHIETLA,CHIETLA,21DPR0976Q,IGNACIO ZARAGOZA,215, DAÑO MENOR ,TERCERA ETAPA,0,18.517997,-98.578914
2225,AHUATLÁN,EL CARRIZO (PARAJE MICHIHUACAN),21KPR0360E,PRIMARIA COMUNITARIA RURAL EL CARRIZO (PARAJE MICHIHUACAN),7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.571565,-98.285253
2226,ACAJETE,SAN MARTÍN LA JOYA,21KPR0697P,CURSO COMUNITARIO SAN MART-N LA JOYA,26,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.105107,-97.919711
2227,XOCHITLÁN TODOS SANTOS,LOS PINOS,21KPR0914N,CURSO COMUNITARIO LOS PINOS,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.672937,-97.757771
2228,ATLIXCO,EL PAJAR,21KPR0952Q,PRIMARIA COMUNITARIA RURAL EL PAJAR,14,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.925983,-98.383312
2229,CUAUTINCHÁN,APAPASCO,21KPR1002Y,PRIMARIA COMUNITARIA RURA APAPASCO,11,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.940981,-98.059404
2230,AHUATLÁN,LAGUNILLA,21KPR1042Z,PRIMARIA COMUNITARIA RURAL LAGUNILLA,11,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.6052,-98.316
2231,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DPR2773I,BENITO JUAREZ,217,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.978618,-98.231959
2232,TEPEXI DE RODRÍGUEZ,SAN FELIPE OTLALTEPEC,21DCC0430U,ROSARIO CASTELLANOS,84,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.401944,-97.908611
2233,CORONANGO,SAN MARTÍN ZOQUIAPAN,21DJN0810S,MITZE,118,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.133786,-98.301576
2234,HUEJOTZINGO,SAN MIGUEL TIANGUIZOLCO,21ETV0110N,JOHN DALTON,101,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.158611,-98.440833
2235,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21EES0272T,JOSEFA ORTIZ DE DOMINGUEZ,105,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.051467,-98.194363
2236,HUEJOTZINGO,SAN DIEGO BUENAVISTA,21DPR2535H,AGUSTIN MELGAR,132,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.131111,-98.484167
2237,CHALCHICOMULA DE SESMA,CIUDAD SERDÁN,21DST0007O,ESCUELA SECUNDARIA TECNICA NUM. 7,830,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.990036,-97.455242
2238,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DJN0718L,TECILLI,177,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.975516,-98.267491
2239,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,21DJN2421P,TLANEXTLI,107,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.975516,-98.267491
2240,TEZIUTLÁN,TEZIUTLÁN,21DJN1614X,LINDA VISTA,12,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.812233,-97.355719
