N°,Municipio,Etapa,Edad,Género
263,ACATLAN DE OSORIO,1,52,Femenino
264,PETLALCINGO,4,25,Femenino
265,PETLALCINGO,4,38,Femenino
266,PETLALCINGO,4,46,Femenino
267,PETLALCINGO,4,54,Femenino
268,PETLALCINGO,4,22,Femenino
269,PETLALCINGO,4,44,Femenino
270,PETLALCINGO,4,39,Femenino
271,PETLALCINGO,4,45,Femenino
272,PETLALCINGO,4,55,Femenino
273,PETLALCINGO,4,79,Femenino
274,SAN JOSE CHIAPA,1,50,Femenino
275,SAN JOSE CHIAPA,1,55,Femenino
276,SAN JOSE CHIAPA,1,31,Femenino
277,SAN JOSE CHIAPA,1,54,Femenino
278,SAN JOSE CHIAPA,1,46,Femenino
279,ACATZINGO,1,57,Femenino
280,ACATZINGO,1,39,Femenino
281,ACATZINGO,1,37,Femenino
282,ACATZINGO,1,41,Femenino
283,ACATZINGO,1,58,Femenino
284,ACATZINGO,1,37,Femenino
285,ACATZINGO,1,25,Femenino
286,ACATZINGO,1,41,Femenino
287,ACATZINGO,1,43,Femenino
288,ACATZINGO,1,47,Femenino
289,ACATZINGO,1,32,Femenino
290,ACATZINGO,1,65,Femenino
291,ACATZINGO,1,25,Femenino
292,ACATZINGO,1,35,Femenino
293,ACATZINGO,1,48,Femenino
294,ACATZINGO,1,41,Femenino
295,ACATZINGO,1,67,Femenino
296,ACATZINGO,1,33,Femenino
297,ACATZINGO,1,35,Femenino
298,ACATZINGO,1,34,Femenino
299,ACATZINGO,1,22,Femenino
300,ACATZINGO,1,63,Femenino
301,ACATZINGO,1,42,Femenino
302,ACATZINGO,1,49,Femenino
303,ACATZINGO,1,50,Femenino
304,ACATZINGO,1,49,Femenino
305,ACATZINGO,1,38,Femenino
306,ACATZINGO,1,53,Femenino
307,SAN JOSE CHIAPA,1,40,Femenino
308,SAN JOSE CHIAPA,1,33,Femenino
309,SAN JOSE CHIAPA,1,40,Femenino
310,SAN JOSE CHIAPA,1,64,Femenino
311,SAN JOSE CHIAPA,1,35,Femenino
312,SAN JOSE CHIAPA,1,52,Femenino
313,SAN JOSE CHIAPA,1,52,Femenino
314,SAN JOSE CHIAPA,1,46,Femenino
315,SAN JOSE CHIAPA,1,37,Femenino
316,SAN JOSE CHIAPA,1,44,Femenino
317,NOPALUCAN,1,55,Femenino
318,NOPALUCAN,1,26,Femenino
319,NOPALUCAN,1,38,Femenino
320,NOPALUCAN,1,30,Femenino
321,NOPALUCAN,1,28,Femenino
322,ACATZINGO,1,43,Femenino
323,ACATZINGO,1,37,Femenino
324,ACATZINGO,1,57,Femenino
325,ACATZINGO,1,36,Femenino
326,ACATZINGO,1,21,Femenino
327,ACATZINGO,1,26,Femenino
328,ACATZINGO,1,52,Femenino
329,ACATZINGO,1,45,Femenino
330,ACATZINGO,1,34,Femenino
331,ACATZINGO,1,53,Femenino
332,ACATZINGO,1,50,Femenino
333,ACATZINGO,1,47,Femenino
334,ACATZINGO,1,31,Femenino
335,ACATZINGO,1,36,Femenino
336,ACATZINGO,1,61,Femenino
337,ACATZINGO,1,39,Femenino
338,ACATZINGO,1,44,Femenino
339,ACATZINGO,1,20,Femenino
340,NOPALUCAN,1,37,Femenino
341,NOPALUCAN,1,20,Femenino
342,NOPALUCAN,1,38,Femenino
343,NOPALUCAN,1,55,Femenino
344,NOPALUCAN,1,20,Femenino
345,SOLTEPEC,1,35,Femenino
346,SOLTEPEC,1,66,Femenino
347,SOLTEPEC,1,40,Femenino
348,SOLTEPEC,1,47,Femenino
349,SOLTEPEC,1,44,Femenino
350,SOLTEPEC,1,69,Femenino
351,SOLTEPEC,1,26,Femenino
352,SOLTEPEC,1,26,Femenino
353,SOLTEPEC,1,29,Femenino
354,SOLTEPEC,1,35,Femenino
355,ACATZINGO,1,55,Femenino
356,ACATZINGO,1,27,Femenino
357,ACATZINGO,1,27,Femenino
358,ACATZINGO,1,21,Femenino
359,ACATZINGO,1,30,Femenino
360,ACATZINGO,1,41,Femenino
361,ACATZINGO,1,19,Femenino
362,MAZAPILTEPEC DE JUAREZ,2,47,Femenino
363,MAZAPILTEPEC DE JUAREZ,2,38,Femenino
364,MAZAPILTEPEC DE JUAREZ,2,48,Femenino
365,MAZAPILTEPEC DE JUAREZ,2,37,Femenino
366,MAZAPILTEPEC DE JUAREZ,2,22,Femenino
367,NOPALUCAN,4,53,Femenino
368,NOPALUCAN,4,56,Femenino
369,NOPALUCAN,4,25,Femenino
370,NOPALUCAN,4,26,Femenino
